AGE,DRIVINGEXPERIENCE,CREDITSCORE,ANNUALMILEAGE,VEHICLEOWNERSHIP,VEHICLEMANUFACTURE,CLAIM
73,0-9y,0.629027313918201,12000.0,yes,since2015,0
16,0-9y,0.3577571170184627,16000.0,no,before2015,1
18,0-9y,0.4931457852181982,11000.0,yes,before2015,0
21,0-9y,0.2060128507324556,11000.0,yes,before2015,0
29,10-19y,0.3883658881572184,12000.0,yes,before2015,1
45,20-29y,0.6191273725847388,13000.0,yes,since2015,0
73,30+y,0.4929435502195342,13000.0,no,since2015,0
28,0-9y,0.468689297434465,14000.0,no,since2015,1
55,20-29y,0.5218149362971065,13000.0,no,before2015,0
54,0-9y,0.5615310319383646,11000.0,yes,before2015,1
70,30+y,0.6203612640126029,10000.0,yes,since2015,0
67,30+y,0.7298308815593941,12000.0,yes,since2015,0
46,20-29y,0.6370447435902447,8000.0,yes,before2015,0
28,10-19y,0.4615679630439447,12000.0,yes,before2015,0
22,0-9y,0.4177139816231188,18000.0,yes,before2015,1
20,0-9y,0.4095135306516067,17000.0,no,before2015,1
16,0-9y,0.5532600531952381,8000.0,yes,since2015,1
54,20-29y,0.3309502618581893,13000.0,yes,before2015,0
72,30+y,0.5006306604427161,7000.0,yes,before2015,0
28,10-19y,0.5519701813636283,14000.0,yes,before2015,0
62,10-19y,0.6269960497386653,13000.0,yes,before2015,0
34,10-19y,0.2947974807719967,15000.0,yes,before2015,0
26,10-19y,0.5519504952618395,17000.0,no,since2015,0
65,0-9y,0.649820471216227,9000.0,yes,since2015,1
54,20-29y,0.5218044346397632,7000.0,yes,since2015,0
73,30+y,0.7012683240604196,10000.0,yes,before2015,0
23,0-9y,0.1712440288213211,9000.0,yes,before2015,0
18,0-9y,0.3184419972124171,10000.0,yes,before2015,1
32,0-9y,0.6046842696715551,11000.0,yes,before2015,1
16,0-9y,0.5049948526440377,8000.0,no,since2015,1
26,10-19y,0.6251466352816216,17000.0,yes,before2015,0
62,10-19y,0.5781305873212035,14000.0,yes,before2015,0
